1- Indicateurs sur les déclarations de salaires effectuées au titre de l'année 2020,,
,,
,Nombre de salariés déclarés,"3,31 Millions salariés déclarés"
,Masse salariale déclarée,150 Milliards Dhs
,Nombre d'affiliés déclarant,270 Mille entreprises déclarantes
,,
2- Population des assurés éligibles à l'AMO CNSS au titre de l'année 2020,,
,,
,Nombre des assurés actifs,"2,983,708 "
,Nombre des assurés Pensionnés,"588,461 "
,Effectif des assurés actifs par Région,
,Région,Efectif
, Marrakech-Safi                         ," 329,935   "
, Rabat-Salé-Kénitra                     ," 465,348   "
, Souss-Massa                            ," 297,187   "
,Béni Mellal-Khénifra                    ," 137,945   "
,Drâa-Tafilalet                          ," 123,180   "
,Eddakhla-Oued Eddahab                   ," 13,131   "
,Fès-Meknès                              ," 286,934   "
,Grand Casablanca-Settat                 ," 793,202   "
,Guelmim-Oued Noun                       ," 27,318   "
,Laayoune-Sakia El Hamra                 ," 32,446   "
,Oriental                                ," 127,156   "
,Tanger-Tetouan-Al Hoceima               ," 320,208   "
,Non renseignée," 29,718   "
,Total," 2,983,708   "
,Effectif des assurés actifs par Tranche d'âge,
,Tranche d'age,Efectif
,] 10 - 15 ], 176   
,] 15 - 20 ]," 73,287   "
,] 20 - 25 ]," 370,427   "
,] 25 - 30 ]," 524,525   "
,] 30 - 35 ]," 483,716   "
,] 35 - 40 ]," 430,975   "
,] 40 - 45 ]," 379,622   "
,] 45 - 50 ]," 315,980   "
,] 50 - 55 ]," 235,477   "
,] 55 - 60 ]," 141,816   "
,] 60 - 65 ]," 21,831   "
,] 65 - 70 ]," 4,292   "
,[plus de 70 ans]," 1,210   "
,Non renseignée, 374   
,Total," 2,983,708   "
