Région,Délégation,Nom de l'hôpital,Catégorie,Commune/ville d'implantation
Béni Mellal-Khénifra,Azilal,Haut Atlas Central,HP,Azilal (Mun.)
Béni Mellal-Khénifra,Azilal,Demnate,HPr,Demnate (Mun.)
Béni Mellal-Khénifra,Beni Mellal,Beni Mellal,HR,Béni Mellal (Mun.)
Béni Mellal-Khénifra,Beni Mellal,Moulay Ismail,HPr,Kasba Tadla (Mun.)
Béni Mellal-Khénifra,Beni Mellal,Beni Mellal,CRO,Ouled M'Barek
Béni Mellal-Khénifra,Fkih Ben Saleh,Fquih Ben Salah,HP,Fquih Ben Salah (Mun.)
Béni Mellal-Khénifra,Fkih Ben Saleh,Souk Sebt,HPr,Fquih Ben Salah (Mun.)
Béni Mellal-Khénifra,Khenifra,Khenifra,HP,Khenifra (Mun.)
Béni Mellal-Khénifra,Khenifra,M'Rirt,HPr,M'Rirt (Mun.)
Béni Mellal-Khénifra,Khouribga,Mohamed VI,HPr,Bejaad (Mun.)
Béni Mellal-Khénifra,Khouribga,Hassan II,HP,Khouribga (Mun.)
Béni Mellal-Khénifra,Khouribga,Oued.Zem,HPr,Oued Zem (Mun.)
Casablanca-Settat,Aïn Chok,Centre de Léprologie,HP,Aîn-Chock (Arrond.)
Casablanca-Settat,Aïn Chok,Mohamed Sekkat,HP,Aîn-Chock (Arrond.)
Casablanca-Settat,Aïn Sebaâ-Hay Mohammadi,Mohamed V,HP,Hay Mohammadi (Arrond.)
Casablanca-Settat,Al Fida-Mers Sultan,Mohamed Baouafi,HP,Al-Fida (Arrond.)
Casablanca-Settat,Ben Msick,Ben Msick,HP,Ben M'Sick (Arrond.)
Casablanca-Settat,Benslimane,Benslimane (Hassan II),HP,Benslimane (Mun.)
Casablanca-Settat,Berrechid,Berrchid,HP,Berrechid (Mun.)
Casablanca-Settat,Berrechid,Errazi,HPsyP,Berrechid (Mun.)
Casablanca-Settat,Casablanca Anfa,Ibn Rochd,HIR,El Maarif (Arrond.)
Casablanca-Settat,Casablanca Anfa,Hôpital D'enfants,HIR,El Maarif (Arrond.)
Casablanca-Settat,Casablanca Anfa,20 Aout 1953,HIR,El Maarif (Arrond.)
Casablanca-Settat,Casablanca Anfa,My Youssef,HR,Sidi Belyout (Arrond.)
Casablanca-Settat,El Jadida,Azemmour,HPr,Azemmour (Mun.)
Casablanca-Settat,El Jadida,Mohamed V,HP,El Jadida (Mun.)
Casablanca-Settat,Hay Hassani,El Hassani,HP,Hay-Hassani (Arrond.)
Casablanca-Settat,Mediouna,Mediouna,HP,Mediouna (Mun.)
Casablanca-Settat,Mediouna,Tit Mellil,HPsyP,Sidi Hajjaj Oued Hassar
Casablanca-Settat,Mohammedia,My Abdellah,HP,Mohammadia (Mun.)
Casablanca-Settat,Moulay Rachid,Sidi Othmane,HP,Sidi Othmane (Arrond.)
Casablanca-Settat,Nouaceur,Bouskoura,HPr,Bouskoura (Mun.)
Casablanca-Settat,Nouaceur,Prince My Hassan,HP,Dar Bouazza (Mun.)
Casablanca-Settat,Settat,Ben Ahmed,HPr,Ben Ahmed (Mun.)
Casablanca-Settat,Settat,Hassan II,HP,Settat (Mun.)
Casablanca-Settat,Sidi Bennour,Sidi Bennour,HP,Sidi Bennour (Mun.)
Casablanca-Settat,Sidi Bennour,Zmamra,HPr,Zemamra (Mun.)
