Région,Délegation,Commune,Nom établissement,Catégorie
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Bir Anzarane,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Al Harchi,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Abdellah Hamou,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Bouayach (Mun.),Bni Bouayach,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Bouayach (Mun.),Bni Bouayach-II,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Imzouren (Mun.),Imzouren    ,Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Targuist (Mun.),Targuist    ,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Targuist (Mun.),Hommane El Fatouaki,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ajdir (Mun.),Ajdir (Azghar),Centre de Santé Urbain niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Gmil,B. Gmil Mestassa,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Gmil,Ibarranen,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Gmil Maksouline,Bni Gmil Maksouline,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Gmil Maksouline,El  Hamri Omar,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Boufrah,Bni Boufrah,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Boufrah,Agni,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Senada,Senada  ,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Senada,Toufist,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Youssef Ou Ali,Ait youssef ou Ali(S.Bouafif),Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Youssef Ou Ali,Azaghar (A. Youssef Ouali),Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Louta,Louta,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Arbaa Taourirt,Arbaa Taourirt,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Arbaa Taourirt,Ouaadia,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Chakrane,Chakrane,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Abdallah,Bni Abdellah,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Abdallah,Bousalah,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Hadifa,Bni Hadifa,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Zaouiat Sidi Abdelkader,S.Abdelkader,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Imrabten,Tamassint,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Kamra,Ait Kamra,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Kamra,Ait Zekri,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ait Kamra,Tazaghine,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Izemmouren,Izemmouren,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Izemmouren,Tala Youssef,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Nekkour,Nekkour,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Nekkour,Tazourakht,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Tifarouine,Tifarouine (Ait Taa),Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Rouadi,Rouadi  ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Rouadi,Tawasarte,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Ammart,Bni Ammart,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Sidi Bouzineb,Sidi Bouzineb,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Ahmed Imoukzan,Admam,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Bounsar,Bni Bounsar,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Bchir,Bab Stot,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Sidi Boutmim,Sidi Boutmim,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Zarkt,Zarkat,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Abdelghaya Souahel,Ikaouen  ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Abdelghaya Souahel,Beni Ahmed,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Issaguen,Issaguen,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Issaguen,Azila,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Moulay Ahmed Cherif,My Ahmed cherif,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ketama,Tlet Ketama,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ketama,Tamlouguit,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Ketama,Attout,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Al Hoceima,Tamsaout,Tamsaout,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Al Hoceima,Bni Bouchibet,Tabarrant,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Taghzout,Taghzout,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Bir Anzarane,Centre de Référence en Santé de Reproduction
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Bir Anzarane,Centre de Diagnostic et de Traitement des Maladies Respiratoires
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Laboratoire (Siaap),Laboratoire de Santé Publique
Tanger-Tetouan-Al Hoceima,Al Hoceima,Zaouiat Sidi Abdelkader,Zaouyat Sidi Abdelkader,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),El Haouta,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Bab El Ain  ,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Ain El Houzi,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bab Berred,Bab Berred,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bab Berred,Laanacer,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Iounane,Iounane,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Iounane,Aaloui,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Rzine,Bni Rzine,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Rzine,Azaghar,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Rzine,Aoufas,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Smih,Bni Smih,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Amtar,Amtar       ,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,M'tioua,Jabha        ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,M'tioua,Taglit,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Ouaouzgane,Ouaouzgane,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Ouaouzgane,Aguersif,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tamorot,Tamorot,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tamorot,Maouassif,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tamorot,Hadaka  ,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bab Taza,Bab Taza,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bab Taza,Magou,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Gharouzime,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bab Taza,khezana,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Darkoul,Bni Darkoul,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Darkoul,Chrafat,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Salah,Barkok,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Faghloum,Doukala,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Fifi,Fifi,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Fifi,Bni Yarzine,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Derdara,Derdara,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Laghdir,Souk Lhad,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Laghdir,Aghran Kadi,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tanaqoub,Tanaqoub    ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tanaqoub,Zaouite  S. Youssef,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Mansour,Ain Lahjar,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Selmane,Assifane,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Selmane,Khmis Louta,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Steha,Steha  ,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tizgane,Kaa Assrass,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tizgane,Targha,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Talambote,Talambot,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Selmane,Medieq,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Bouzra,Bou Ahmed     ,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Bouzra,Anaray,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Chafchaouen,Centre de Référence en Santé de Reproduction
Tanger-Tetouan-Al Hoceima,Chefchaouen,Talambote,Kalaa,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Tassift,Tasift,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Ahmed Cherqia,Bni Ahmed,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Ahmed Gharbia,Ksibat     ,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Ahmed Gharbia,Bni Mizar,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Mansoura,Mansoura,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Oued Malha,Malha,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Ain el houzi,Centre de Diagnostic et de Traitement des Maladies Respiratoires
Tanger-Tetouan-Al Hoceima,Chefchaouen,Mansoura,Aydi,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Chefchaouen,Bni Smih,Boumazigh,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Taghramt,Taghramt,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Al Bahraoyine,Nouinouich,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Ksar Sghir,Ksar Sghir,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Malloussa,Malloussa,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Anjra,Khmiss Anjra,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Jouamaa,Hakkama,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Ksar El Majaz,Ksar El Majaz,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Fahs-Anjra,Al Bahraoyine,Bni Ouassine,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Oulad Ouchih,Snaija,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Ksar El Kbir,Centre de Référence en Santé de Reproduction
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Larache,Centre de Référence en Santé de Reproduction
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),My Ali Boughaleb,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Khalkhali,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Sidi Kamel,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Bouchouika,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Moaskar,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Hay El Jadid,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Kassaba,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Hay Nador,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Alwafaa,Centre de Santé Urbain niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Laouamra,Laouamra,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Laouamra,Zlaoula,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Souk L'Qolla,L'qolla,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Souk L'Qolla,Souk Tlet,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Ksar Bjir,Ksar Bjir,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Zouada,Zouada,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Zouada,Snadla,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Bou Jedyane,Bou-Jedyane,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Tatoft,Tatoft,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Ayacha,Ayacha,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Ayacha,Ain Kssab,Dispensaire Rural
Tanger-Tetouan-Al Hoceima,Larache,Bni Arouss,Bni Arouss,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Tazroute,Tazroute,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Bni Garfett,Bni Garfett,Centre de Santé Rural niveau 2
Tanger-Tetouan-Al Hoceima,Larache,Zaaroura,Zaaroura,Centre de Santé Rural niveau 1
Tanger-Tetouan-Al Hoceima,Larache,Zaaroura,Aouarmout,Dispensaire Rural
