Province,Commune,Nom Etab,Categorie,Nom Complet
Agadir Ida Ou Tanan,Agadir,N.Talborjt,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Ihchach,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Bouargane,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Q.Industriel,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Amsernate,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,El Qods,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Essalam,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,C.Diagnostic Tuberculose,CDTMR,Centre de diagnostic et de Traitement des maladies respiratoires
Agadir Ida Ou Tanan,Agadir,Centre De Reference,CRPF,CRPF
Agadir Ida Ou Tanan,Agadir,Laboratoire Epidemiologique,LEHM,Laboratoire épidémiologique et d'hygiène de milieu
Agadir Ida Ou Tanan,Agadir,Bensergaou,CSUA,Centre de santé urbain avec module d'accouchement
Agadir Ida Ou Tanan,Agadir,Taddarte,CSU,Centre de santé urbain
Agadir Ida Ou Tanan,Agadir,Anza         ,CSUA,Centre de santé urbain avec module d'accouchement
Agadir Ida Ou Tanan,Agadir,Tikiouine     ,CSUA,Centre de santé urbain avec module d'accouchement
Agadir Ida Ou Tanan,Amskroud,Amskroud,CSCA,Centre de santé communal avec module d'accouchement
Agadir Ida Ou Tanan,Amskroud,Sidi Boushab,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Amskroud,Tamait Oufella,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Idmine,Assaka Idmine,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Idmine,Ikhrdidene,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Drargua,Drarga,CSC,Centre de santé communal
Agadir Ida Ou Tanan,Drargua,Tamait Izdar,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Drargua,Azrarag,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Aziar,Aziar,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Imouzzer,Immouzzer,CSCA,Centre de santé communal avec module d'accouchement
Agadir Ida Ou Tanan,Imouzzer,Imesker,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Tadrart,Tadrarte,CSC,Centre de santé communal
Agadir Ida Ou Tanan,Tiqqi,Isk Ntiki,CSC,Centre de santé communal
Agadir Ida Ou Tanan,Aourir,Tamraghte,CSCA,Centre de santé communal avec module d'accouchement
Agadir Ida Ou Tanan,Taghazout,Taghazout,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Aqesri,Aqesri,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Imsouane,Assaka,CSC,Centre de santé communal
Agadir Ida Ou Tanan,Imsouane,Imsouane,DR,Dispensaire Rural
Agadir Ida Ou Tanan,Imsouane,Sidi Belkacem,DR,Dispensaire Rural
